1,6.4696,0.46717,0.40809,13.74,2.0853e+06,1.3329e+06,2.51,14.559,0.00015624,4.9361e-05,0.21811,0.41462,3.5308e-18
1,300.91,0.01059,0.010655,16.754,0.46423,0.015861,0.055673,0.34702,0.19279,0.058553,0.21811,0.41462,4.1585e-06
1,460.44,0.0069237,0.0069735,16.781,0.43678,0.0097241,0.034369,0.21557,0.4111,0.12481,0.21811,0.41455,8.5286e-05
1,1467.6,0.0021733,0.0021915,16.816,0.40623,0.0028347,0.010129,0.066874,1.211,0.36791,0.21811,0.40937,0.0068658
1,2541,0.0012554,0.001267,16.822,0.40088,0.0016202,0.0058214,0.040593,1.4154,0.43034,0.21811,0.40534,0.013253
1,3605.1,0.00088489,0.00089313,16.825,0.39877,0.0011395,0.004114,0.030189,1.4868,0.4525,0.21811,0.40364,0.016445
1,7133.7,0.00044721,0.00045139,16.828,0.39631,0.0005786,0.0021199,0.018048,1.5567,0.47471,0.21811,0.4019,0.020331
1,14223,0.00022431,0.00022552,16.83,0.39507,0.00029578,0.0011136,0.011926,1.5849,0.48397,0.21811,0.40123,0.02223
2,6.4696,0.46717,0.40808,13.74,2.0853e+06,1.3329e+06,2.51,14.559,0.00010162,1.9288e-05,0.20686,0.63532,1.154e-19
2,300.91,0.01059,0.010655,16.754,0.46423,0.015861,0.055673,0.34702,0.13692,0.024847,0.20686,0.63532,2.4336e-07
2,460.44,0.0069237,0.0069735,16.781,0.43678,0.0097241,0.034369,0.21557,0.29251,0.053124,0.20686,0.63531,5.0849e-06
2,1467.6,0.0021733,0.0021915,16.816,0.40623,0.0028347,0.010129,0.066874,0.85003,0.15626,0.20686,0.63427,0.00040911
2,2541,0.0012554,0.001267,16.822,0.40088,0.0016202,0.0058214,0.040593,0.98467,0.18197,0.20686,0.63328,0.00078123
2,3605.1,0.00088489,0.00089313,16.825,0.39877,0.0011395,0.004114,0.030189,1.0298,0.19077,0.20686,0.63278,0.00096061
2,7133.7,0.00044721,0.00045139,16.828,0.39631,0.0005786,0.0021199,0.018048,1.0719,0.19923,0.20686,0.63219,0.0011683
2,14223,0.00022431,0.00022552,16.83,0.39507,0.00029578,0.0011136,0.011926,1.0879,0.20255,0.20686,0.6319,0.001263
3,6.4696,0.46717,0.40798,13.74,2.0853e+06,1.3329e+06,2.51,14.559,0.013311,0.002905,0.17415,0.10997,1.5846e-12
3,300.91,0.01059,0.010655,16.754,0.46423,0.015861,0.055673,0.34702,0.61928,0.12367,0.17415,0.10997,3.5788e-06
3,460.44,0.0069237,0.0069735,16.781,0.43678,0.0097241,0.034369,0.21557,1.2551,0.24926,0.17415,0.1099,5.7825e-05
3,1467.6,0.0021733,0.0021915,16.816,0.40623,0.0028347,0.010129,0.066874,3.7252,0.73459,0.17415,0.10502,0.0041544
3,2541,0.0012554,0.001267,16.822,0.40088,0.0016202,0.0058214,0.040593,4.4902,0.88322,0.17415,0.10038,0.0082451
3,3605.1,0.00088489,0.00089313,16.825,0.39877,0.0011395,0.004114,0.030189,4.7977,0.94297,0.17415,0.098013,0.010403
3,7133.7,0.00044721,0.00045139,16.828,0.39631,0.0005786,0.0021199,0.018048,5.144,1.0105,0.17415,0.095046,0.013193
3,14223,0.00022431,0.00022552,16.83,0.39507,0.00029578,0.0011136,0.011926,5.3089,1.0429,0.17415,0.09353,0.014657
4,6.4696,0.46717,0.40811,13.74,2.0853e+06,1.3329e+06,2.51,14.559,8.9562e-05,0.00013622,0.038104,0.0072166,3.003e-20
4,300.91,0.01059,0.010655,16.754,0.46423,0.015861,0.055673,0.34702,0.12275,0.16162,0.03811,0.0072163,4.6483e-08
4,460.44,0.0069237,0.0069735,16.781,0.43678,0.0097241,0.034369,0.21557,0.26229,0.34501,0.03811,0.0072141,9.6028e-07
4,1467.6,0.0021733,0.0021915,16.816,0.40623,0.0028347,0.010129,0.066874,0.75899,1.0375,0.03811,0.007019,7.9195e-05
4,2541,0.0012554,0.001267,16.822,0.40088,0.0016202,0.0058214,0.040593,0.87711,1.2243,0.03811,0.006833,0.00015149
4,3605.1,0.00088489,0.00089313,16.825,0.39877,0.0011395,0.004114,0.030189,0.91621,1.2917,0.03811,0.0067415,0.00018613
4,7133.7,0.00044721,0.00045139,16.828,0.39631,0.0005786,0.0021199,0.018048,0.95231,1.3596,0.03811,0.0066328,0.00022627
4,14223,0.00022431,0.00022552,16.83,0.39507,0.00029578,0.0011136,0.011926,0.96573,1.3879,0.03811,0.0065812,0.00024478
5,6.4696,0.46717,0.40811,13.74,2.0853e+06,1.3328e+06,2.51,14.559,0.00030069,2.5912e-05,0.10657,1.1542,1.0261e-18
5,300.91,0.01059,0.010655,16.754,0.46423,0.015861,0.055673,0.34702,0.27254,0.019541,0.10657,1.1542,2.2475e-07
5,460.44,0.0069237,0.0069735,16.781,0.43678,0.0097241,0.034369,0.21557,0.57797,0.041248,0.10657,1.1542,4.4177e-06
5,1467.6,0.0021733,0.0021915,16.816,0.40623,0.0028347,0.010129,0.066874,1.7228,0.12402,0.10657,1.1527,0.00037531
5,2541,0.0012554,0.001267,16.822,0.40088,0.0016202,0.0058214,0.040593,2.0343,0.14713,0.10657,1.151,0.0007632
5,3605.1,0.00088489,0.00089313,16.825,0.39877,0.0011395,0.004114,0.030189,2.1483,0.15574,0.10657,1.1501,0.00097024
5,7133.7,0.00044721,0.00045139,16.828,0.39631,0.0005786,0.0021199,0.018048,2.2656,0.16479,0.10657,1.1488,0.0012356
