1,1,8399.8
1,2,7.0811
1,3,3.3213
1,4,1.1127
1,5,0.94192
1,6,0.89202
1,7,0.84664
1,8,0.82905
2,1,32939
2,2,25.569
2,3,11.959
2,4,4.0592
2,5,3.4802
2,6,3.3169
2,7,3.1732
2,8,3.1198
3,1,37.857
3,2,0.88921
3,3,0.44091
3,4,0.14296
3,5,0.11365
3,6,0.10394
3,7,0.094057
3,8,0.089684
4,1,52.976
4,2,0.04465
4,3,0.02091
4,4,0.0067655
4,5,0.005581
4,6,0.0052191
4,7,0.0048785
4,8,0.0047417
5,1,44544
5,2,59.065
5,3,27.982
5,4,9.2942
5,5,7.8232
5,6,7.3846
5,7,6.9713
5,8,6.8018
6,1,59938
6,2,48.732
6,3,22.807
6,4,7.6428
6,5,6.5076
6,6,6.183
6,7,5.8925
6,8,5.7818
7,1,3.3753
7,2,0.062577
7,3,0.030727
7,4,0.0072577
7,5,0.0046211
7,6,0.0038447
7,7,0.0031278
7,8,0.0028365
8,1,735
8,2,0.58333
8,3,0.27276
8,4,0.091668
8,5,0.078222
8,6,0.074403
8,7,0.071015
8,8,0.069741
9,1,1281.4
9,2,1.529
9,3,0.72204
9,4,0.23896
9,5,0.20079
9,6,0.18942
9,7,0.17877
9,8,0.17444
10,1,4507
10,2,3.1653
10,3,1.4807
10,4,0.5145
10,5,0.44571
10,6,0.42688
10,7,0.41103
10,8,0.40556
11,1,2548.9
11,2,1.8432
11,3,0.86144
11,4,0.2973
11,5,0.25749
11,6,0.24666
11,7,0.23755
11,8,0.2344
12,1,233.98
12,2,1.1599
12,3,0.56275
12,4,0.091184
12,5,0.046418
12,6,0.03492
12,7,0.025205
12,8,0.021546
13,1,125.34
13,2,0.10251
13,3,0.047982
13,4,0.015935
13,5,0.013438
13,6,0.0127
13,7,0.012019
13,8,0.011749
14,1,2205.4
14,2,1.7194
14,3,0.80426
14,4,0.27239
14,5,0.23334
14,6,0.22234
14,7,0.21267
14,8,0.20909
15,1,296.73
15,2,0.46208
15,3,0.2189
15,4,0.072485
15,5,0.060784
15,6,0.057273
15,7,0.053956
15,8,0.052595
16,1,384
16,2,0.37028
16,3,0.17428
16,4,0.054763
16,5,0.043823
16,6,0.040321
16,7,0.036893
16,8,0.035451
17,1,94.975
17,2,0.072066
17,3,0.033695
17,4,0.011454
17,5,0.0098263
17,6,0.0093704
17,7,0.0089739
17,8,0.0088295
18,1,10887
18,2,9.0074
18,3,4.3417
18,4,1.4752
18,5,1.1582
18,6,1.0558
18,7,0.95603
18,8,0.9144
19,1,1747.7
19,2,1.8092
19,3,0.85918
19,4,0.12872
19,5,0.071078
19,6,0.05683
19,7,0.044906
19,8,0.040444
20,1,18110
20,2,15.454
20,3,7.2519
20,4,2.4392
20,5,2.0748
20,6,1.9695
20,7,1.8741
20,8,1.8372
21,1,1903.6
21,2,1.3469
21,3,0.62989
21,4,0.21926
21,5,0.19065
21,6,0.18295
21,7,0.17656
21,8,0.1744
22,1,397.64
22,2,0.32288
22,3,0.15118
22,4,0.050446
22,5,0.042713
22,6,0.040479
22,7,0.038478
22,8,0.037719
23,1,1179.8
23,2,1.0708
23,3,0.503
23,4,0.1656
23,5,0.13889
23,6,0.13094
23,7,0.12351
23,8,0.12053
24,1,1147.6
24,2,0.86146
24,3,0.40247
24,4,0.13697
24,5,0.11771
24,6,0.11235
24,7,0.10772
24,8,0.10605
25,1,7.5886
25,2,0.072673
25,3,0.034468
25,4,0.0045833
25,5,0.0026132
25,6,0.0021252
25,7,0.0017047
25,8,0.0015414
26,1,48.458
26,2,0.038997
26,3,0.0074207
26,4,0.00031561
